python main.py ./simulatedPlanets/example-sim-model_allFeatures ./simulatedPlanets/fake_grammaticalSystems_allFeatures.txt --num_planet_features 2 --num_stellar_features 3 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 1 --dropout_prob 0.01 --train

Random seed: 1
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_allFeatures.txt
   # planets:     37811
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss 0.000000002516 | -0.000000003630 bits | time 0:00:01   
| epoch   2 | loss 0.000000000944 | -0.000000001361 bits | time 0:00:04   
| epoch   3 | loss 0.000000003460 | -0.000000004992 bits | time 0:00:02   
| epoch   4 | loss 0.000000007234 | -0.000000010437 bits | time 0:00:01   
| epoch   5 | loss -0.000000228982 | 0.000000330352 bits | time 0:00:01   
| epoch   6 | loss -0.086392659311 | 0.124638261157 bits | time 0:00:01   
| epoch   7 | loss -0.289939996278 | 0.418294994785 bits | time 0:00:01   
| epoch   8 | loss -0.352116720658 | 0.507997046707 bits | time 0:00:01   
| epoch   9 | loss -0.373838205765 | 0.539334525552 bits | time 0:00:01   
| epoch  10 | loss -0.387695020768 | 0.559325683839 bits | time 0:00:01   
| epoch  11 | loss -0.397485113396 | 0.573449801923 bits | time 0:00:01   
| epoch  12 | loss -0.415483376989 | 0.599415807554 bits | time 0:00:01   
| epoch  13 | loss -0.442888272469 | 0.638952714359 bits | time 0:00:01   
| epoch  14 | loss -0.464919638115 | 0.670737256320 bits | time 0:00:01   
| epoch  15 | loss -0.483197317196 | 0.697106373289 bits | time 0:00:01   
| epoch  16 | loss -0.503264885543 | 0.726057754627 bits | time 0:00:01   
| epoch  17 | loss -0.526240130449 | 0.759204026516 bits | time 0:00:01   
| epoch  18 | loss -0.563243069482 | 0.812587983157 bits | time 0:00:01   
| epoch  19 | loss -0.599760140310 | 0.865270980147 bits | time 0:00:01   
| epoch  20 | loss -0.626442650456 | 0.903765705214 bits | time 0:00:01   
| epoch  21 | loss -0.645869065086 | 0.931792097263 bits | time 0:00:03   
| epoch  22 | loss -0.671211334206 | 0.968353263247 bits | time 0:00:02   
| epoch  23 | loss -0.681156342451 | 0.982700877324 bits | time 0:00:01   
| epoch  24 | loss -0.693188105064 | 1.000059041578 bits | time 0:00:01   
| epoch  25 | loss -0.698277112047 | 1.007400926717 bits | time 0:00:01   
| epoch  26 | loss -0.705997915727 | 1.018539691898 bits | time 0:00:01   
| epoch  27 | loss -0.707648630193 | 1.020921169471 bits | time 0:00:01   
| epoch  28 | loss -0.716085262695 | 1.033092657344 bits | time 0:00:03   
| epoch  29 | loss -0.716286848434 | 1.033383484090 bits | time 0:00:05   
| epoch  30 | loss -0.721145634444 | 1.040393230570 bits | time 0:00:01   
| epoch  31 | loss -0.722037952619 | 1.041680573578 bits | time 0:00:01   
| epoch  32 | loss -0.730217672904 | 1.053481415468 bits | time 0:00:01   
| epoch  33 | loss -0.728270077768 | 1.050671629624 bits | time 0:00:01   
| epoch  34 | loss -0.728516278292 | 1.051026821899 bits | time 0:00:01   
| epoch  35 | loss -0.731077870782 | 1.054722418680 bits | time 0:00:01   
| epoch  36 | loss -0.735311493396 | 1.060830245030 bits | time 0:00:01   
| epoch  37 | loss -0.735864431216 | 1.061627965682 bits | time 0:00:01   
| epoch  38 | loss -0.731467042089 | 1.055283874195 bits | time 0:00:01   
| epoch  39 | loss -0.738234819869 | 1.065047713636 bits | time 0:00:02   
| epoch  40 | loss -0.740491368289 | 1.068303224852 bits | time 0:00:01   
| epoch  41 | loss -0.739029005445 | 1.066193481229 bits | time 0:00:02   
| epoch  42 | loss -0.743425529676 | 1.072536324934 bits | time 0:00:04   
| epoch  43 | loss -0.739341972371 | 1.066644997061 bits | time 0:00:03   
| epoch  44 | loss -0.742043512478 | 1.070542495575 bits | time 0:00:02   
| epoch  45 | loss -0.744876046294 | 1.074628978065 bits | time 0:00:02   
