python main.py ./simulatedPlanets/example-sim-model_allFeatures ./simulatedPlanets/fake_grammaticalSystems_allFeatures.txt --num_planet_features 2 --num_stellar_features 3 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 0 --dropout_prob 0.01 --train

Random seed: 0
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_allFeatures.txt
   # planets:     37962
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss -0.000000002823 | 0.000000004073 bits | time 0:00:01   
| epoch   2 | loss -0.000000003451 | 0.000000004978 bits | time 0:00:01   
| epoch   3 | loss -0.000000001569 | 0.000000002263 bits | time 0:00:01   
| epoch   4 | loss -0.000000002510 | 0.000000003621 bits | time 0:00:01   
| epoch   5 | loss -0.000000002196 | 0.000000003168 bits | time 0:00:01   
| epoch   6 | loss -0.000000002823 | 0.000000004073 bits | time 0:00:01   
| epoch   7 | loss -0.000000001569 | 0.000000002263 bits | time 0:00:01   
| epoch   8 | loss -0.000000002196 | 0.000000003168 bits | time 0:00:01   
| epoch   9 | loss -0.000000000941 | 0.000000001358 bits | time 0:00:01   
| epoch  10 | loss -0.000000001569 | 0.000000002263 bits | time 0:00:01   
| epoch  11 | loss -0.000000002196 | 0.000000003168 bits | time 0:00:01   
| epoch  12 | loss -0.000000003451 | 0.000000004978 bits | time 0:00:01   
| epoch  13 | loss 0.000000001882 | -0.000000002716 bits | time 0:00:01   
| epoch  14 | loss -0.000000009411 | 0.000000013578 bits | time 0:00:01   
| epoch  15 | loss -0.005761312027 | 0.008311816290 bits | time 0:00:01   
| epoch  16 | loss -0.095639714442 | 0.137978941737 bits | time 0:00:01   
| epoch  17 | loss -0.186787294557 | 0.269477103559 bits | time 0:00:01   
| epoch  18 | loss -0.258917887038 | 0.373539551628 bits | time 0:00:01   
| epoch  19 | loss -0.294874074585 | 0.425413365090 bits | time 0:00:01   
| epoch  20 | loss -0.308476734005 | 0.445037854378 bits | time 0:00:01   
| epoch  21 | loss -0.317445992169 | 0.457977758652 bits | time 0:00:01   
| epoch  22 | loss -0.329145826478 | 0.474857051589 bits | time 0:00:01   
