python main.py ./simulatedPlanets/example-sim-model_Rp_Teff ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt --num_planet_features 1 --num_stellar_features 1 --num_labels 3 --batch_size 100 --epochs 250 --width 2 --seed 13412 --dropout_prob 0.01 --train

Random seed: 13412
-----------------------------------------------------------------------------------------
[DATA]
   data:          ./simulatedPlanets/fake_grammaticalSystems_Rp_Teff.txt
   # planets:     37527
-----------------------------------------------------------------------------------------
[TRAINING]
   num_labels:    3
   batch_size:    100
   lr:            0.002
   epochs:        250

| epoch   1 | loss -0.000000002853 | 0.000000004117 bits | time 0:00:01   
| epoch   2 | loss -0.000000006658 | 0.000000009605 bits | time 0:00:01   
| epoch   3 | loss -0.000000006341 | 0.000000009148 bits | time 0:00:01   
| epoch   4 | loss -0.000000001585 | 0.000000002287 bits | time 0:00:01   
| epoch   5 | loss -0.000000006975 | 0.000000010063 bits | time 0:00:01   
| epoch   6 | loss -0.000000008243 | 0.000000011892 bits | time 0:00:01   
| epoch   7 | loss -0.000000004439 | 0.000000006404 bits | time 0:00:01   
| epoch   8 | loss 0.000000002536 | -0.000000003659 bits | time 0:00:01   
| epoch   9 | loss -0.000000002219 | 0.000000003202 bits | time 0:00:01   
| epoch  10 | loss -0.000000004756 | 0.000000006861 bits | time 0:00:01   
| epoch  11 | loss -0.000000004756 | 0.000000006861 bits | time 0:00:01   
| epoch  12 | loss -0.000000117624 | 0.000000169696 bits | time 0:00:01   
| epoch  13 | loss -0.083915490261 | 0.121064461653 bits | time 0:00:01   
| epoch  14 | loss -0.328493551212 | 0.473916017298 bits | time 0:00:01   
| epoch  15 | loss -0.410205649569 | 0.591801656377 bits | time 0:00:01   
| epoch  16 | loss -0.443645294993 | 0.640044867001 bits | time 0:00:01   
| epoch  17 | loss -0.459258562707 | 0.662570050903 bits | time 0:00:01   
| epoch  18 | loss -0.467910171665 | 0.675051684242 bits | time 0:00:01   
| epoch  19 | loss -0.479129037641 | 0.691237086551 bits | time 0:00:01   
| epoch  20 | loss -0.483631760040 | 0.697733141827 bits | time 0:00:01   
| epoch  21 | loss -0.488790309334 | 0.705175355311 bits | time 0:00:01   
| epoch  22 | loss -0.487451432550 | 0.703243764414 bits | time 0:00:01   
| epoch  23 | loss -0.494078098142 | 0.712804022002 bits | time 0:00:01   
| epoch  24 | loss -0.497645702292 | 0.717950986817 bits | time 0:00:01   
| epoch  25 | loss -0.500222532832 | 0.721668567457 bits | time 0:00:01   
| epoch  26 | loss -0.503603796217 | 0.726546699375 bits | time 0:00:01   
| epoch  27 | loss -0.505847634629 | 0.729783873924 bits | time 0:00:01   
| epoch  28 | loss -0.508379526912 | 0.733436622365 bits | time 0:00:01   
| epoch  29 | loss -0.506905032282 | 0.731309376275 bits | time 0:00:01   
| epoch  30 | loss -0.507999812827 | 0.732888810739 bits | time 0:00:01   
| epoch  31 | loss -0.512742729739 | 0.739731393446 bits | time 0:00:01   
| epoch  32 | loss -0.518081357029 | 0.747433404563 bits | time 0:00:01   
| epoch  33 | loss -0.512638758947 | 0.739581395301 bits | time 0:00:01   
| epoch  34 | loss -0.515099635308 | 0.743131689423 bits | time 0:00:01   
| epoch  35 | loss -0.515386304640 | 0.743545265846 bits | time 0:00:01   
| epoch  36 | loss -0.514480242387 | 0.742238094327 bits | time 0:00:01   
| epoch  37 | loss -0.519092401767 | 0.748892033792 bits | time 0:00:01   
| epoch  38 | loss -0.517870598492 | 0.747129344267 bits | time 0:00:01   
| epoch  39 | loss -0.514944747249 | 0.742908233188 bits | time 0:00:01   
